bin	CDS_total	CDS_hypothetical	X16S	X23S	X5S	unique_tRNA	checkm_marker_lineage	Completeness	Contamination	Strain_heterogeneity	Genome_size_bp	ambiguous_bases	scaffolds	contigs	N50_scaffolds_	N50_contigs_	Mean_scaffold_length_bp	Mean_contig_length_bp	Longest_scaffold_bp	Longest_contig_bp	GC	GC_std_scaffolds__1kbp	Coding_density	predicted_genes	gtdb_classification	fastani_ani	fastani_af	closest_placement_reference	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	msa_percent	red_value	gtdb_warning	silva_taxonomy	mags_workflow_name	mags_workflow_date	mags_workflow_mode	MAG_status	cmseq_covered_bases	cmseq_polymorphic_bases	percent_snp_rate	cMAG_status	kaiju_domain	kaiju_phylum	AMR_count	VIR_count	cov_il	cov_pb	cov_r9	cov_r104	r_abund_il	r_abund_pb	r_abund_r9	r_abund_r104	cluster	unalligned_bp	genome_frac	dup_ratio	Ns_per_100kb	MMs_per_100kb	Indels_per_100kb
ilmn_bin.0010	1565	842	1	0	1	11	o__Clostridiales (UID1120)	69.56	1.43	14.29	1841731	0	987	987	1945	1945	1865	1865	6609	6609	40.8	3.65	87.8	2304	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU069;s__DTU069 sp012730095	98.64	0.88	GCA_012730095.1	98.64	0.88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU069;s__	taxonomic classification defined by topology and ANI	63.21	N/A	N/A	GQ132827.1.1388 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales UCG-001;uncultured bacterium	ilmn	2021-09-18	Illumina	MQ	221823	5345	2.40957880832916	N	Bacteria	 Firmicutes	0	0	7.951726	2.644293	9.916193	2.6207557	0.14711301	0.058526862	0.08309798	0.07238042	81_1	402183	44.184	1.007	0	207.83	9.45
ilmn_bin.0011	2209	914	1	0	0	10	o__Clostridiales (UID1120)	99.02	0.7	0	2365149	0	120	120	36707	36707	19709	19709	91813	91813	39.3	2.29	89.41	2276	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter sp012520455	99.92	0.95	GCA_012520455.1	99.92	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	taxonomic classification defined by topology and ANI	94.9	N/A	N/A	FJ825495.1.1386 Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;uncultured bacterium	ilmn	2021-09-18	Illumina	MQ	2340086	4124	0.176232839305906	N	Bacteria	 Firmicutes	3	0	77.05867	100.22197	148.2703	31.64231	1.4256444	2.2182403	1.2425091	0.87390214	76_1	221011	82.899	1.008	0	66.92	7.1
ilmn_bin.0012	1404	556	1	0	0	14	k__Bacteria (UID209)	76.63	0	0	1559404	0	388	388	4266	4266	4019	4019	15984	15984	39.1	2.03	87.43	1664	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia;o__Caldatribacteriales;f__UBA8910;g__UBA8910;s__UBA8910 sp002069605	99.28	0.95	GCA_002069605.1	99.28	0.95	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia;o__Caldatribacteriales;f__UBA8910;g__UBA8910;s__	taxonomic classification defined by topology and ANI	68.1	N/A	N/A	AJ306782.1.1566 Bacteria;Caldatribacteriota;Caldatribacteriia;Caldatribacteriales;Caldatribacteriaceae;Candidatus Caldatribacterium;uncultured bacterium	ilmn	2021-09-18	Illumina	MQ	500778	5081	1.01462124933603	N	Bacteria	 Firmicutes	0	0	8.338328	6.049774	12.564933	3.7678304	0.15426546	0.13390131	0.10529448	0.10406051	39_1	39421	45.672	1.01	0	225.06	12.3
ilmn_bin.0013	2074	1310	1	0	0	16	p__Bacteroidetes (UID2605)	69.1	4.05	0	2635651	0	1221	1221	2405	2405	2158	2158	9923	9923	35.8	2.43	90.27	2984	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	61.13	0.838212276498059	N/A	KC358229.1.1322 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;uncultured bacterium	ilmn	2021-09-18	Illumina	MQ	336719	4026	1.19565572480317	N	Bacteria	 Bacteroidetes	0	0	6.055478	3.2459424	7.168217	1.5243243	0.11203098	0.07184333	0.06006986	0.042099018	29_1	303937	56.338	1.002	0	48.09	1.16
ilmn_bin.0014	1176	551	0	0	0	13	k__Bacteria (UID209)	64.25	3.39	0	1280607	0	712	712	1849	1849	1798	1798	6722	6722	42.2	2.77	87.8	1766	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia;o__Caldatribacteriales;f__Caldatribacteriaceae;g__UBA3950;s__UBA3950 sp002385475	99.18	1.0	GCA_002385475.1	99.18	1.0	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia;o__Caldatribacteriales;f__Caldatribacteriaceae;g__;s__	taxonomic classification defined by topology and ANI	50.57	N/A	N/A	NA	ilmn	2021-09-18	Illumina	MQ	125510	2129	1.69627918094176	N	Bacteria	 Firmicutes	0	0	5.7428055	1.9527725	6.071527	1.7478998	0.1062463	0.04322125	0.050879564	0.048273757	38_1	245140	48.512	1.015	0	224.27	17.55
ilmn_bin.0015	1446	587	0	0	2	16	p__Firmicutes (UID239)	81.7	0.98	66.67	1561238	0	128	128	15952	15952	12197	12197	85188	85188	49.7	1.02	88.77	1518	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA4971;s__UBA4971 sp900019985	99.73	0.83	GCA_900019985.1	99.73	0.83	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA4971;s__	taxonomic classification defined by topology and ANI	85.43	N/A	N/A	NA	ilmn	2021-09-18	Illumina	MQ	1542601	7329	0.47510665428066	N	Bacteria	 Firmicutes	0	0	33.86905	35.24137	58.405285	14.779851	0.62660336	0.78000695	0.4894379	0.40819216	112_1	15305	71.998	1.005	0	94.8	1.89
ilmn_bin.0016	1508	728	2	1	2	16	k__Bacteria (UID2570)	89.71	12.84	23.33	1755123	0	505	505	4887	4887	3475	3475	44197	44197	42.3	3.67	90.6	1860	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA4179;s__UBA4179 sp002381125	97.39	0.79	GCA_002381125.1	97.39	0.79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA4179;s__	taxonomic classification defined by topology and ANI	76.2	N/A	Genome has more than 12.5% of markers with multiple hits	KC333936.1.1493 Bacteria;Firmicutes;D8A-2;uncultured bacterium	ilmn	2021-09-18	Illumina	Contaminated	1735553	18005	1.03742150196508	N	Bacteria	 Bacteroidetes	0	0	59.39985	49.17493	77.04464	18.514956	1.0989426	1.0884023	0.64563626	0.5113488	NA	NA	NA	NA	NA	NA	NA
ilmn_bin.0017	2171	926	0	0	2	18	p__Firmicutes (UID241)	92.75	2.82	20	2215041	0	126	126	25896	25896	17579	17579	86380	86380	59.1	2.2	91.59	2228	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__DTU010 sp002391385	99.76	0.91	GCA_002391385.1	99.76	0.91	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__	taxonomic classification defined by topology and ANI	90.11	N/A	N/A	NA	ilmn	2021-09-18	Illumina	MQ	2192564	4413	0.2012712057664	N	Bacteria	 Firmicutes	0	0	41.120842	36.500816	68.32627	18.68724	0.76076704	0.8078826	0.5725761	0.516107	119_1	138188	77.055	1.004	0	61.81	4.98
ilmn_bin.0018	1274	549	0	0	1	12	k__Bacteria (UID209)	66.95	2.68	100	1236881	0	275	275	5013	5013	4497	4497	20412	20412	59.9	3.4	92.3	1431	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__58-81;s__58-81 sp002070395	99.09	0.98	GCA_002070395.1	99.09	0.98	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__58-81;s__	taxonomic classification defined by topology and ANI	55.41	N/A	N/A	NA	ilmn	2021-09-18	Illumina	MQ	718031	10252	1.42779350752266	N	Bacteria	 Synergistetes	0	0	12.148527	6.0948577	15.411086	5.2412415	0.22475706	0.13489915	0.12914532	0.1447534	54_2	65663	60.928	1.01	0	218.3	2.76
ilmn_bin.0019	2120	1374	2	2	0	17	k__Bacteria (UID2569)	77.55	4.66	30.77	2560191	0	742	742	4809	4809	3450	3450	32565	32565	40	4.66	90.65	2650	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp012519425	99.16	0.74	GCA_012519425.1	99.16	0.74	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	taxonomic classification defined by topology and ANI	65.75	N/A	N/A	FN667374.1.1462 Bacteria;Firmicutes;Bacilli;Izemoplasmatales;uncultured compost bacterium	ilmn	2021-09-18	Illumina	MQ	2495772	28282	1.13319646185629	N	Bacteria	 Bacteroidetes	0	0	35.69855	11.544028	83.96475	26.047121	0.6604505	0.25550714	0.703627	0.71937335	65_1	646024	53.16	1.02	0	376.5	10.71
ilmn_bin.0020	3513	2006	0	0	3	20	c__Clostridia (UID1118)	89.22	14.34	3.33	3803478	0	1523	1523	2807	2807	2497	2497	16228	16228	34.5	2.48	88.43	4653	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__;s__	N/A	N/A	GCA_012522255.1	76.45	0.08	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__;s__	taxonomic classification defined by topology and ANI	73.42	0.8341565935676745	N/A	NA	ilmn	2021-09-18	Illumina	Contaminated	1578491	49951	3.16447797295012	N	Bacteria	 Firmicutes	0	0	8.994817	5.392164	14.681002	3.7502465	0.166411	0.11934625	0.123027205	0.103574865	NA	NA	NA	NA	NA	NA	NA
ilmn_bin.0021	3462	2226	1	0	0	17	k__Bacteria (UID2570)	76.48	26.11	1.3	4031014	0	2162	2162	1904	1904	1864	1864	9573	9573	37.7	3.46	89.93	5165	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Fermentimonas;s__Fermentimonas caenicola	99.26	0.65	GCF_001282625.1	99.26	0.65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Fermentimonas;s__	taxonomic classification defined by topology and ANI	57.26	N/A	Genome has more than 14.2% of markers with multiple hits	KX672176.1.1394 Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Tepidanaerobacter;uncultured Thermoanaerobacterales bacterium	ilmn	2021-09-18	Illumina	Contaminated	630766	12442	1.97252229828494	N	Bacteria	 Bacteroidetes	0	0	6.3608575	2.350144	6.7735705	1.6917545	0.11768073	0.052016377	0.056762706	0.046723127	NA	NA	NA	NA	NA	NA	NA
ilmn_bin.0022	1185	716	1	0	0	9	k__Bacteria (UID209)	36.22	3.7	50	1112761	0	547	547	2037	2037	2034	2034	30958	30958	59.3	3.43	91.55	1442	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__Aminivibrio;s__	N/A	N/A	GCA_012519165.1	81.36	0.19	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__Aminivibrio;s__	taxonomic classification defined by topology and ANI	30.57	0.9638690655270012	N/A	GQ136248.1.1366 Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;uncultured;uncultured bacterium	ilmn	2021-09-18	Illumina	LQ	723840	12695	1.75384062776304	N	Bacteria	 Synergistetes	0	0	12.153073	3.6851969	11.78534	4.0059958	0.22484116	0.08156548	0.098761484	0.110638194	NA	NA	NA	NA	NA	NA	NA
ilmn_bin.0023	2006	952	1	3	2	18	p__Firmicutes (UID239)	87.75	7.35	22.22	2097104	0	410	410	9306	9306	5114	5114	72614	72614	51.4	4.6	88.84	2291	d__Bacteria;p__DTU030;c__DTU030;o__DUMP01;f__DUMP01;g__DUNI01;s__DUNI01 sp012837285	99.18	0.82	GCA_012837285.1	99.18	0.82	d__Bacteria;p__DTU030;c__DTU030;o__DUMP01;f__DUMP01;g__DUNI01;s__	taxonomic classification defined by topology and ANI	83.84	N/A	N/A	HQ155055.1.1385 Bacteria;Firmicutes;Incertae Sedis;Gelria;uncultured prokaryote	ilmn	2021-09-18	Illumina	MQ	2080524	16306	0.783744864274577	N	Bacteria	 Firmicutes	0	0	64.78866	52.051174	90.776474	22.965984	1.1986398	1.1520629	0.7607094	0.634278	158_1	379232	70.451	1.015	0	187.59	5.5
ilmn_bin.0024	4228	2382	5	6	4	20	c__Deltaproteobacteria (UID3216)	97.42	10.32	0	4519005	0	477	477	39624	39624	9473	9473	184741	184741	56.2	8.07	87.67	4436	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__UBA1062 sp002316295	98.94	0.91	GCA_002316295.1	98.94	0.91	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__	taxonomic classification defined by topology and ANI	83.78	N/A	Genome has more than 12.5% of markers with multiple hits	FPLM01005714.1.1420 Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Smithellaceae;Smithella;metagenome	ilmn	2021-09-18	Illumina	Contaminated	4501190	14984	0.332889746933589	N	Bacteria	 Proteobacteria	1	0	72.62592	57.23674	136.87431	42.111286	1.3436352	1.2668364	1.1470106	1.1630359	NA	NA	NA	NA	NA	NA	NA
ilmn_bin.0025	2895	1665	3	6	3	17	p__Firmicutes (UID239)	75.5	7.54	38.46	3127630	0	1284	1284	2775	2775	2435	2435	29153	29153	50.1	2.07	87.2	3820	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA4971;s__	N/A	N/A	GCA_002424305.1	79.47	0.29	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA4971;s__	taxonomic classification defined by topology and ANI	62.95	0.9487627092710729	Genome has more than 10.8% of markers with multiple hits	CT573933.1.1359 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;uncultured;uncultured bacterium	ilmn	2021-09-18	Illumina	MQ	1660608	37571	2.26248458395961	N	Bacteria	 Firmicutes	0	0	11.084692	4.5567636	13.858852	3.818725	0.2050753	0.100856096	0.11613757	0.10546612	113_1	1557487	60.358	1.028	0	537.28	13.94
ilmn_bin.0026	1481	647	0	0	1	17	k__Bacteria (UID2328)	98.56	0	0	1550218	0	76	76	40344	40344	20397	20397	101021	101021	47.2	2.35	92.16	1494	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__DTU067;s__DTU067 sp001512995	99.62	0.88	GCA_001512995.1	99.62	0.88	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__DTU067;s__	taxonomic classification defined by topology and ANI	92.75	N/A	N/A	NA	ilmn	2021-09-18	Illumina	MQ	1275392	1853	0.145288664191088	N	Bacteria	 Firmicutes	0	0	14.840235	6.332602	44.204636	16.621492	0.27455568	0.14016122	0.37043607	0.4590549	57_1	5705	80.864	1.003	0	32.72	2.4
ilmn_bin.0027	1669	820	1	1	0	20	p__Bacteroidetes (UID2605)	93.24	1.43	0	1921223	0	49	49	163039	163039	39208	39208	284630	284630	45.6	5.12	94.67	1704	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__	N/A	N/A	GCA_012839605.1	81.29	0.73	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__DMER64;s__	taxonomic classification defined by topology and ANI	95.35	0.9873976643840924	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	EF559196.1.1483 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;uncultured;uncultured bacterium	ilmn	2021-09-18	Illumina	MQ	1918421	1031	0.0537421139572596	N	Bacteria	 Bacteroidetes	0	0	100.84876	121.68071	210.246	56.199505	1.8657794	2.6931927	1.7618674	1.5521264	185_1	89780	94.392	1.001	0	5.63	2.08
ilmn_bin.0028	1581	879	1	2	2	20	k__Bacteria (UID2328)	97.33	2.67	33.33	1626314	0	426	426	5583	5583	3817	3817	22613	22613	47.7	6.45	90.6	1813	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__UBA3946;s__UBA3946 sp002385755	99.42	0.84	GCA_002385755.1	99.42	0.84	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__UBA3946;s__	taxonomic classification defined by topology and ANI	85.01	N/A	N/A	CU919061.1.1346 Bacteria;Firmicutes;D8A-2;uncultured bacterium	ilmn	2021-09-18	Illumina	HQ	1614771	13114	0.812127540066053	N	Bacteria	 Firmicutes	0	0	72.01561	19.52948	160.28825	58.83717	1.3323439	0.43225133	1.3432201	1.6249739	55_1	178942	80.502	1.024	0	227.54	8.14
