Genome	X2_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X5_cov.Relative.Abundance....	X1_cov.Relative.Abundance....
bin.0046	0.20149268	0.2932553	0.21377723	0.22088315	0.18816702
bin.0047	0.12745138	0.104627244	0.10290321	0.10765671	0.1101175
bin.0048	0.1525413	0.13650261	0.13354431	0.13335122	0.13954371
bin.0049	1.9226161	2.3006763	1.6399121	1.7037781	1.3753004
bin.0050	1.8816489	2.8371577	1.3085932	1.3659014	1.1232146
bin.0051	0.39070177	0.27465776	0.3400604	0.34638792	0.36327246
bin.0052	3.0613399	3.2008932	2.4187958	2.500959	2.1978893
bin.0053	0.12612298	0.12979025	0.13050464	0.1348309	0.14698538
bin.0054	0.11902949	0.104158856	0.12352943	0.12020267	0.12466667
bin.0055	0.3425178	0.53868926	0.3572285	0.3609647	0.2930665
bin.0056	3.7072098	6.287659	3.4242837	3.4694564	3.7898798
bin.0057	1.0848209	1.519853	0.79667866	0.8191655	0.57565224
bin.0058	0.1572739	0.043470405	0.1695039	0.16394176	0.19573008
bin.0059	0.16701016	0.20799577	0.17657205	0.18003874	0.15949073
bin.0060	0.06509462	0.1332351	0.06402862	0.063609146	0.09368231
bin.0061	0.08244632	0.005701184	0.09264498	0.09263812	0.18191071
bin.0062	0.17001253	0.14256018	0.11484669	0.11928742	0.10661202
bin.0063	1.3756068	1.7370828	0.90221137	0.94317263	0.65123487
bin.0064	0.5435142	0.68951494	0.7677775	0.7261545	0.71914744
bin.0065	0.15398628	0.11150873	0.107665814	0.112306625	0.11825807
bin.0066	0.75632906	0.40101504	1.4449279	1.3445954	1.6382583
bin.0067	0.33656996	0.28233925	0.24916896	0.25478232	0.22124729
bin.0068	0.0918116	0.105379544	0.0823396	0.07308988	0.098615564
bin.0069	0.06078295	0.06436154	0.09107822	0.08912009	0.11535797
bin.0070	0.94263977	1.6442611	0.990484	1.017828	0.87382716
bin.0071	0.16421425	0.14533676	0.13589767	0.13970846	0.14139496
bin.0072	0.1535925	0.16386972	0.122952335	0.12680273	0.13914086
bin.0073	0.16823709	0.1588032	0.15061404	0.15536569	0.15244246
bin.0074	0.16965893	0.20199963	0.15488651	0.15683052	0.15073356
bin.0075	0.14394563	0.19045556	0.1029755	0.10461782	0.09441809
bin.0076	0.41840717	0.53538173	0.30144963	0.31095737	0.24040216
bin.0077	0.37934366	0.54405636	0.26244485	0.28476697	0.3341364
bin.0078	0.31828937	0.20412306	0.5136441	0.47872543	0.51488405
bin.0079	0.14901125	0.1142859	0.1975192	0.19047743	0.19909818
bin.0080	0.11871293	0.18144883	0.09568454	0.1018175	0.08752621
bin.0081	0.30548552	0.23595041	0.24962349	0.2616275	0.27589923
bin.0082	1.4450748	1.6580303	1.0313456	1.0614592	0.7960224
bin.0083	0.94189805	0.7606328	0.6257317	0.647346	0.55312896
bin.0084	0.32507148	0.2744756	0.2595874	0.27131277	0.30355278
bin.0085	0.11281548	0.026454648	0.20243527	0.18642068	0.19577764
bin.0086	0.14883775	0.08256762	0.16223942	0.16299136	0.1838381
bin.0087	0.17411883	0.16012342	0.13261512	0.12922621	0.12516345
bin.0088	0.24763542	0.17717771	0.20653218	0.21365115	0.22439136
bin.0089	0.48103926	0.13035259	1.0055996	0.9384612	1.3504059
bin.0090	0.35429373	0.2797905	0.2356263	0.24672586	0.23290004
bin.0091	4.0446835	3.2098386	3.9484308	3.995884	3.9867797
bin.0092	1.1325616	1.6464819	0.81867623	0.8477744	0.5652905
bin.0093	0.13127097	0.067463756	0.28928798	0.2653274	0.39362848
bin.0094	0.42862424	0.40332153	0.3088518	0.32003507	0.32304475
bin.0095	0.17548066	0.17968822	0.16286677	0.1596221	0.15865201
bin.0096	0.4918076	0.631797	0.6339068	0.6215184	0.6260899
bin.0097	6.225115	2.7676208	10.828358	10.088605	11.437247
bin.0098	0.13097824	0.076018795	0.19670996	0.18264367	0.23461187
bin.0099	0.10395761	0.0718528	0.17418906	0.17064987	0.20579784
bin.0100	0.86948955	0.95242447	0.6102543	0.6454606	0.54186136
bin.0101	0.56155074	0.67730194	0.51917875	0.52960575	0.46224672
bin.0102	4.6106877	4.876337	4.1886177	4.234239	3.588509
bin.0103	0.21973261	0.15088011	0.23621592	0.23210153	0.31114575
bin.0104	2.6799994	1.511873	4.5197215	4.3562617	4.830995
bin.0105	0.18280247	0.20635219	0.1284473	0.13963492	0.1150708
bin.0106	0.08921416	0.065739736	0.067267	0.06983442	0.09990924
bin.0107	0.050790932	0.022487558	0.05325228	0.050911333	0.089758925
bin.0108	0.074123435	0.03879783	0.14194523	0.12383598	0.13588147
bin.0109	0.10887568	0.10007832	0.096571594	0.09706797	0.111260496
bin.0110	0.39340004	0.5341305	0.29388654	0.30615246	0.23720816
bin.0111	0.13912413	0.13520265	0.104384094	0.10893719	0.11172278
bin.0112	0.32526803	0.30819348	0.23860642	0.24443853	0.22036608
bin.0113	0.519617	0.4005282	0.47808573	0.4753193	0.5853745
bin.0114	0.24766126	0.1968225	0.17692444	0.18452147	0.18883637
bin.0115	0.24626242	0.233961	0.2431189	0.2452996	0.1840423
bin.0116	1.4138324	1.2691025	1.1783336	1.2201428	1.1625334
bin.0117	0.57209945	0.34966132	0.7371733	0.7169121	0.7604735
bin.0118	0.30513117	0.32924566	0.22640851	0.23184462	0.1928142
unmapped	15.359837	15.635241	16.475033	16.38453	16.346909
